Step,Dist_to_Truck,Speed,Stopping_Dist,Safety_Margin,Risk
202,5.82,4.49,2.05,-0.23,0.5429
203,5.99,4.68,2.24,-0.25,0.5456
204,6.18,4.89,2.44,-0.26,0.5482
205,6.37,5.08,2.63,-0.27,0.5502
206,6.56,5.26,2.83,-0.26,0.5510
207,6.77,5.41,2.98,-0.21,0.5472
208,6.99,5.56,3.15,-0.15,0.5405
209,7.23,5.73,3.35,-0.12,0.5342
210,7.47,5.91,3.56,-0.09,0.5274
211,7.73,6.10,3.79,-0.06,0.5214
212,8.00,6.22,3.95,0.06,0.5081
213,8.28,6.23,3.96,0.32,0.4795
214,8.55,6.16,3.87,0.68,0.4346
215,8.81,6.06,3.74,1.07,0.3800
216,9.07,5.92,3.57,1.50,0.3208
217,9.34,5.79,3.42,1.92,0.2633
218,9.59,5.76,3.38,2.20,0.2166
219,9.84,5.81,3.44,2.40,0.1811
220,10.09,5.93,3.58,2.51,0.1560
221,10.35,6.07,3.75,2.60,0.1380
222,10.65,6.21,3.93,2.72,0.1236
223,10.92,6.22,3.95,2.97,0.1080
224,11.19,6.15,3.85,3.34,0.0907
225,11.48,6.03,3.70,3.78,0.0729
226,11.74,5.90,3.55,4.19,0.0573
227,12.00,5.77,3.40,4.60,0.0442
228,12.25,5.74,3.36,4.89,0.0344
229,12.51,5.80,3.43,5.08,0.0274
230,12.76,5.90,3.55,5.21,0.0225
231,13.05,6.06,3.74,5.31,0.0192
232,13.32,6.19,3.90,5.42,0.0167
233,13.59,6.19,3.91,5.68,0.0142
234,13.88,6.11,3.81,6.07,0.0116
235,14.17,6.00,3.67,6.50,0.0092
236,14.42,5.89,3.54,6.89,0.0071
237,14.70,5.85,3.49,7.21,0.0055
238,14.95,5.90,3.54,7.40,0.0044
239,15.23,6.02,3.69,7.54,0.0036
240,15.49,6.13,3.83,7.67,0.0030
241,15.79,6.12,3.82,7.96,0.0025
242,16.06,6.04,3.72,8.34,0.0020
243,16.34,5.92,3.57,8.77,0.0016
244,16.60,5.82,3.45,9.15,0.0012
245,16.87,5.78,3.40,9.46,0.0009
246,17.12,5.82,3.46,9.66,0.0007
247,17.40,5.94,3.60,9.79,0.0006
